poly,variant,size_label,size_bytes,time_us
CRC32C,serial,64K,65536,2.128
CRC32C,cpu_cpu,64K,65536,244.048
CRC32C,gpu_cpu,64K,65536,800.52
CRC32C,gpu_gpu,64K,65536,1169.2
IEEE,serial,64K,65536,2.128
IEEE,cpu_cpu,64K,65536,239.96
IEEE,gpu_cpu,64K,65536,907.144
IEEE,gpu_gpu,64K,65536,1003.24
CRC32C,serial,256K,262144,8.48
CRC32C,cpu_cpu,256K,262144,249.144
CRC32C,gpu_cpu,256K,262144,1816.576
CRC32C,gpu_gpu,256K,262144,1920.336
IEEE,serial,256K,262144,8.496
IEEE,cpu_cpu,256K,262144,221.872
IEEE,gpu_cpu,256K,262144,1717.528
IEEE,gpu_gpu,256K,262144,2008.664
CRC32C,serial,1M,1048576,35.768
CRC32C,cpu_cpu,1M,1048576,299.632
CRC32C,gpu_cpu,1M,1048576,1707.672
CRC32C,gpu_gpu,1M,1048576,1965.784
IEEE,serial,1M,1048576,34.808
IEEE,cpu_cpu,1M,1048576,275.72
IEEE,gpu_cpu,1M,1048576,1701.552
IEEE,gpu_gpu,1M,1048576,2009.744
CRC32C,serial,4M,4194304,141.464
CRC32C,cpu_cpu,4M,4194304,283.096
CRC32C,gpu_cpu,4M,4194304,2695.384
CRC32C,gpu_gpu,4M,4194304,2907.928
IEEE,serial,4M,4194304,141.072
IEEE,cpu_cpu,4M,4194304,211.256
IEEE,gpu_cpu,4M,4194304,2656.0
IEEE,gpu_gpu,4M,4194304,2988.232
CRC32C,serial,16M,16777216,612.488
CRC32C,cpu_cpu,16M,16777216,304.592
CRC32C,gpu_cpu,16M,16777216,3082.648
CRC32C,gpu_gpu,16M,16777216,3527.096
IEEE,serial,16M,16777216,600.816
IEEE,cpu_cpu,16M,16777216,172.776
IEEE,gpu_cpu,16M,16777216,3502.776
IEEE,gpu_gpu,16M,16777216,3505.44
CRC32C,serial,64M,67108864,2414.064
CRC32C,cpu_cpu,64M,67108864,667.376
CRC32C,gpu_cpu,64M,67108864,5713.248
CRC32C,gpu_gpu,64M,67108864,5895.928
IEEE,serial,64M,67108864,2385.528
IEEE,cpu_cpu,64M,67108864,624.272
IEEE,gpu_cpu,64M,67108864,6054.728
IEEE,gpu_gpu,64M,67108864,6073.248
CRC32C,serial,256M,268435456,9784.072
CRC32C,cpu_cpu,256M,268435456,2319.752
CRC32C,gpu_cpu,256M,268435456,6562.232
CRC32C,gpu_gpu,256M,268435456,6619.544
IEEE,serial,256M,268435456,9672.864
IEEE,cpu_cpu,256M,268435456,2255.184
IEEE,gpu_cpu,256M,268435456,6328.936
IEEE,gpu_gpu,256M,268435456,6829.976
CRC32C,serial,1G,1073741824,38893.576
CRC32C,cpu_cpu,1G,1073741824,9052.664
CRC32C,gpu_cpu,1G,1073741824,15039.656
CRC32C,gpu_gpu,1G,1073741824,14151.128
IEEE,serial,1G,1073741824,38387.264
IEEE,cpu_cpu,1G,1073741824,9177.416
IEEE,gpu_cpu,1G,1073741824,14247.504
IEEE,gpu_gpu,1G,1073741824,14293.552
CRC32C,serial,4G,4294967296,155881.088
CRC32C,cpu_cpu,4G,4294967296,34977.336
CRC32C,gpu_cpu,4G,4294967296,59711.152
CRC32C,gpu_gpu,4G,4294967296,59728.064
IEEE,serial,4G,4294967296,156360.4
IEEE,cpu_cpu,4G,4294967296,35610.712
IEEE,gpu_cpu,4G,4294967296,59619.016
IEEE,gpu_gpu,4G,4294967296,58993.208
