mode,N,C_blocks,K,R,Q,qd,elapsed_s,requests,rounds,cmds,MBps,round_avg_us,round_p50_us,round_p90_us,round_p99_us,req_avg_us,req_p99_us,cmds_per_req,errors
partial,8,1,256,2,1,0,10.00,4281,1095888,8767088,3424.5,18.2,18.0,18.9,31.3,2336.0,3328.0,2047.9,0
copy-read,8,1,256,2,1,0,10.00,3563,912083,1824163,2850.2,21.9,21.3,23.2,35.5,2806.8,4245.3,512.0,0
slm-copy-read,8,1,256,2,1,0,10.00,3436,879430,1758857,2748.0,22.7,22.3,23.8,37.5,2911.2,4053.3,511.9,0
fused,8,1,256,2,1,0,10.00,4257,1089614,2179224,3404.9,18.3,18.4,20.2,28.5,2349.5,3114.7,511.9,0
vector,8,1,256,2,1,0,10.00,7535,1928727,1928725,6026.9,10.3,10.0,10.5,22.5,1327.3,2752.0,256.0,0
partial,8,2,128,2,1,0,10.00,8462,1083033,8664248,6768.5,18.4,18.0,19.2,30.2,1181.9,1813.3,1023.9,0
copy-read,8,2,128,2,1,0,10.00,5624,719746,1439489,4497.7,27.7,27.3,28.7,44.3,1778.7,2666.7,256.0,0
slm-copy-read,8,2,128,2,1,0,10.00,5170,661755,1323507,4135.5,30.1,30.5,32.3,46.3,1934.4,2538.7,256.0,0
fused,8,2,128,2,1,0,10.00,5873,751744,1503484,4698.0,26.5,26.5,29.3,38.7,1702.8,1973.3,256.0,0
vector,8,2,128,2,1,0,10.00,10592,1355669,1355667,8472.5,14.7,14.2,15.6,25.3,944.2,1514.7,128.0,0
partial,8,4,64,2,1,0,10.00,12807,819609,6556856,10244.5,24.2,23.5,25.8,40.8,780.9,1237.3,512.0,0
copy-read,8,4,64,2,1,0,10.00,7504,480208,960413,6002.0,41.4,41.0,43.3,61.7,1332.9,1856.0,128.0,0
slm-copy-read,8,4,64,2,1,0,10.00,7405,473893,947783,5923.4,41.9,41.0,45.3,63.0,1350.5,1920.0,128.0,0
fused,8,4,64,2,1,0,10.00,7828,500932,1001860,6261.5,39.7,39.2,41.7,59.0,1277.6,1706.7,128.0,0
vector,8,4,64,2,1,0,10.00,15451,988831,988829,12360.0,20.0,19.5,21.3,34.5,647.2,1045.3,64.0,0
partial,8,8,32,2,1,0,10.00,12954,414499,3315976,10362.4,47.6,49.7,52.3,72.3,772.0,1098.7,256.0,0
copy-read,8,8,32,2,1,0,10.00,9152,292844,585684,7320.9,67.6,67.3,70.3,92.7,1092.7,1242.7,64.0,0
slm-copy-read,8,8,32,2,1,0,10.00,8971,287056,574108,7176.4,68.8,68.3,73.0,95.3,1114.8,1450.7,64.0,0
fused,8,8,32,2,1,0,10.00,9204,294528,589052,7362.9,67.1,66.7,71.3,90.7,1086.5,1376.0,64.0,0
vector,8,8,32,2,1,0,10.00,16621,531872,531870,13296.1,37.1,36.8,40.0,59.0,601.7,933.3,32.0,0
partial,8,16,16,2,1,0,10.00,16544,264690,2117504,13233.8,73.2,72.7,80.3,111.3,604.5,752.0,128.0,0
copy-read,8,16,16,2,1,0,10.00,9698,155168,310332,7758.3,125.8,120.0,140.7,193.3,1031.1,1536.0,32.0,0
slm-copy-read,8,16,16,2,1,0,10.00,7587,121378,242753,6068.5,160.4,132.0,172.0,405.3,1318.2,3498.7,32.0,0
fused,8,16,16,2,1,0,10.00,9821,157130,314256,7856.0,124.6,118.7,140.7,194.7,1018.3,1440.0,32.0,0
vector,8,16,16,2,1,0,10.00,17742,283861,283859,14192.6,68.6,62.7,83.3,133.3,563.6,976.0,16.0,0
partial,8,32,8,2,1,0,10.00,18341,146721,1173760,14672.0,128.5,127.3,146.0,224.0,545.2,928.0,64.0,0
copy-read,8,32,8,2,1,0,10.00,8805,70433,140864,7043.3,270.5,273.3,317.3,368.0,1135.8,1365.3,16.0,0
slm-copy-read,8,32,8,2,1,0,10.00,9064,72510,145017,7250.8,262.2,261.3,317.3,362.7,1103.3,1354.7,16.0,0
fused,8,32,8,2,1,0,10.00,9477,75811,151618,7581.0,254.0,245.3,334.7,386.7,1055.2,1274.7,16.0,0
vector,8,32,8,2,1,0,10.00,19346,154761,154760,15475.9,122.0,122.7,138.7,206.7,516.9,853.3,8.0,0
