mode,N,C_blocks,K,R,Q,qd,elapsed_s,requests,rounds,cmds,MBps,round_avg_us,round_p50_us,round_p90_us,round_p99_us,req_avg_us,req_p99_us,cmds_per_req,errors
partial,8,2,128,4,4,2,10.01,1880,240568,1924416,1502.1,663.7,629.3,680.0,1525.3,21301.9,35840.0,1023.6,0
copy-read,8,2,128,4,4,2,10.00,3948,505199,1010367,3157.0,316.2,309.3,332.0,506.7,10136.1,13994.7,255.9,0
slm-copy-read,8,2,128,4,4,2,10.00,3932,502928,1005838,3142.0,317.7,310.7,333.3,498.7,10184.5,14080.0,255.8,0
fused,8,2,128,4,4,2,57.99,4,0,0,0.0,0.0,0.0,0.0,0.0,59991459.8,60118357.3,0.0,528
vector,8,2,128,4,4,2,10.00,7284,931936,931920,5822.9,171.2,168.0,176.0,273.3,5495.7,8362.7,127.9,0
partial,8,2,128,4,4,4,10.00,4120,526882,4214928,3291.5,302.9,298.7,313.3,354.7,9721.9,13056.0,1023.0,0
copy-read,8,2,128,4,4,4,10.00,6068,776360,1552693,4850.5,205.7,205.3,212.0,256.0,6597.2,7978.7,255.9,0
slm-copy-read,8,2,128,4,4,4,10.00,5892,754164,1508302,4713.3,211.5,210.7,221.3,250.7,6789.2,7466.7,256.0,0
fused,8,2,128,4,4,4,10.00,5472,699953,1399874,4374.6,227.9,225.3,233.3,334.7,7314.8,10197.3,255.8,0
vector,8,2,128,4,4,4,10.00,11336,1450639,1450623,9064.0,110.0,105.3,115.3,185.3,3530.4,5632.0,128.0,0
partial,8,2,128,4,4,8,10.01,6272,802675,6421272,5013.9,198.8,197.3,206.7,242.7,6382.2,8704.0,1023.8,0
copy-read,8,2,128,4,4,8,10.01,7612,973927,1947831,6084.0,163.9,162.0,170.7,218.7,5259.7,6357.3,255.9,0
slm-copy-read,8,2,128,4,4,8,10.00,7192,920389,1840755,5750.2,173.4,172.0,182.7,224.0,5565.0,6528.0,255.9,0
fused,8,2,128,4,4,8,10.00,6830,873866,1747704,5459.3,182.6,180.0,188.0,262.7,5860.9,8149.3,255.9,0
vector,8,2,128,4,4,8,10.00,12532,1603785,1603769,10020.7,99.5,98.7,107.3,154.0,3193.4,4522.7,128.0,0
partial,8,2,128,4,4,16,10.00,8456,1082111,8656760,6762.9,147.4,146.0,152.0,189.3,4731.6,5760.0,1023.7,0
copy-read,8,2,128,4,4,16,10.00,8624,1103513,2207004,6894.6,144.7,144.0,152.7,188.0,4641.2,5589.3,255.9,0
slm-copy-read,8,2,128,4,4,16,10.00,8032,1027976,2055931,6423.0,155.2,154.0,168.7,202.7,4982.0,6186.7,256.0,0
fused,8,2,128,4,4,16,10.00,8004,1024495,2048958,6402.2,155.7,154.7,159.3,193.3,4998.2,5589.3,256.0,0
vector,8,2,128,4,4,16,10.00,12572,1609084,1609068,10056.7,99.2,98.7,104.7,138.7,3181.9,4288.0,128.0,0
partial,8,2,128,4,4,32,10.00,8604,1101157,8809128,6881.9,144.9,143.3,153.3,204.0,4649.9,5802.7,1023.8,0
copy-read,8,2,128,4,4,32,10.00,8672,1109530,2219037,6932.3,143.8,144.0,154.7,194.7,4616.0,5546.7,255.9,0
slm-copy-read,8,2,128,4,4,32,10.00,8028,1027452,2054883,6421.2,155.3,153.3,168.0,213.3,4983.5,6528.0,256.0,0
fused,8,2,128,4,4,32,10.00,8654,1107238,2214444,6918.5,144.2,145.3,150.0,192.0,4624.7,5845.3,255.9,0
vector,8,2,128,4,4,32,10.00,12560,1607334,1607318,10043.6,99.3,98.7,105.3,148.0,3186.1,4565.3,128.0,0
