mode,N,C_blocks,K,R,Q,qd,elapsed_s,requests,rounds,cmds,MBps,round_avg_us,round_p50_us,round_p90_us,round_p99_us,req_avg_us,req_p99_us,cmds_per_req,errors
partial,8,32,8,4,4,2,10.01,6127,49010,391952,4897.7,3113.3,2944.0,4074.7,5397.3,6532.8,10794.7,64.0,0
copy-read,8,32,8,4,4,2,10.01,3458,27648,55269,2762.8,5551.5,5632.0,6016.0,6826.7,11581.2,13568.0,16.0,0
slm-copy-read,8,32,8,4,4,2,10.00,3515,28108,56188,2809.4,5460.2,5632.0,5802.7,6485.3,11391.0,13056.0,16.0,0
fused,8,32,8,4,4,2,57.99,4,0,0,0.0,0.0,0.0,0.0,0.0,59993057.3,60118357.3,0.0,48
vector,8,32,8,4,4,2,10.00,6368,50934,50918,5091.5,2995.2,2880.0,3733.3,4928.0,6284.6,9813.3,8.0,0
partial,8,32,8,4,4,4,10.01,7420,59347,474648,5931.7,2571.3,2496.0,3029.3,4245.3,5394.8,8277.3,64.0,0
copy-read,8,32,8,4,4,4,10.01,3740,29903,59778,2988.3,5124.4,5248.0,5461.3,5973.3,10709.0,11946.7,16.0,0
slm-copy-read,8,32,8,4,4,4,10.00,3801,30408,60789,3039.4,5036.5,5141.3,5354.7,5845.3,10528.1,11520.0,16.0,0
fused,8,32,8,4,4,4,10.01,4308,34462,68892,3443.4,4428.5,4565.3,4736.0,5205.3,9293.0,10368.0,16.0,0
vector,8,32,8,4,4,4,10.00,6382,51045,51029,5102.4,2988.8,2922.7,3520.0,4437.3,6271.1,9002.7,8.0,0
partial,8,32,8,4,4,8,10.00,7729,61826,494496,6181.1,2467.0,2453.3,2794.7,3669.3,5177.0,7424.0,64.0,0
copy-read,8,32,8,4,4,8,10.01,3892,31123,62223,3110.7,4921.4,5098.7,5248.0,5397.3,10287.5,10794.7,16.0,0
slm-copy-read,8,32,8,4,4,8,10.01,3956,31647,63271,3162.6,4836.9,5013.3,5162.7,5312.0,10118.2,10666.7,16.0,0
fused,8,32,8,4,4,8,10.00,4252,34001,67970,3398.6,4486.9,4650.7,4757.3,5333.3,9414.8,10624.0,16.0,0
vector,8,32,8,4,4,8,10.00,5169,41347,41331,4133.3,3689.4,3690.7,4245.3,4970.7,7741.6,9984.0,8.0,0
partial,8,32,8,4,4,16,10.01,7654,61222,489664,6119.1,2492.2,2496.0,2773.3,3562.7,5229.5,7338.7,64.0,0
copy-read,8,32,8,4,4,16,10.00,3873,30969,61918,3095.5,4930.1,5034.7,5269.3,5589.3,10337.1,10880.0,16.0,0
slm-copy-read,8,32,8,4,4,16,10.01,3892,31134,62246,3111.6,4903.6,4992.0,5248.0,5589.3,10284.1,10837.3,16.0,0
fused,8,32,8,4,4,16,10.01,4200,33599,67166,3357.0,4542.3,4714.7,4821.3,5013.3,9532.1,10069.3,16.0,0
vector,8,32,8,4,4,16,10.01,4513,36098,36084,3607.7,4227.8,4330.7,4565.3,4778.7,8870.0,9600.0,8.0,0
partial,8,32,8,4,4,32,10.00,6652,53211,425560,5319.5,2867.6,2837.3,3306.7,3925.3,6015.5,7893.3,64.0,0
copy-read,8,32,8,4,4,32,10.01,3692,29532,59033,2950.3,5159.9,5269.3,5440.0,5888.0,10846.4,11434.7,16.0,0
slm-copy-read,8,32,8,4,4,32,10.01,3719,29747,59468,2972.6,5119.4,5248.0,5397.3,5845.3,10764.2,11434.7,16.0,0
fused,8,32,8,4,4,32,10.01,4027,32204,64376,3217.7,4750.9,4864.0,5056.0,5248.0,9945.1,10581.3,16.0,0
vector,8,32,8,4,4,32,10.01,4392,35136,35120,3510.8,4344.2,4416.0,4650.7,5248.0,9114.8,10666.7,8.0,0
partial,8,32,8,4,4,64,10.01,5392,43129,344928,4310.3,3537.6,3562.7,3968.0,4373.3,7423.5,8746.7,64.0,0
copy-read,8,32,8,4,4,64,10.00,3696,29549,59081,2953.8,5154.2,5269.3,5440.0,5888.0,10833.7,11434.7,16.0,0
slm-copy-read,8,32,8,4,4,64,10.00,3719,29744,59469,2973.0,5118.6,5248.0,5397.3,5845.3,10763.1,11434.7,16.0,0
fused,8,32,8,4,4,64,10.01,4024,32175,64320,3215.5,4753.9,4864.0,5056.0,5269.3,9951.9,10666.7,16.0,0
vector,8,32,8,4,4,64,10.01,4483,35845,35832,3581.7,4257.6,4352.0,4608.0,5205.3,8933.3,10368.0,8.0,0
