mode,N,C_blocks,K,R,Q,qd,elapsed_s,requests,rounds,cmds,MBps,round_avg_us,round_p50_us,round_p90_us,round_p99_us,req_avg_us,req_p99_us,cmds_per_req,errors
partial,8,32,8,8,8,2,10.02,4247,33969,271296,3391.2,17840.1,17664.0,19712.0,21845.3,18871.8,22698.7,63.9,0
copy-read,8,32,8,8,8,2,10.02,3484,27866,55648,2781.4,21898.9,22016.0,23040.0,24405.3,23013.5,25088.0,16.0,0
slm-copy-read,8,32,8,8,8,2,10.03,3375,27000,53928,2693.2,22614.6,22186.7,23722.7,29696.0,23759.5,31061.3,16.0,0
fused,8,32,8,8,8,2,58.00,8,0,0,0.0,0.0,0.0,0.0,0.0,59994704.3,60118357.3,0.0,128
vector,8,32,8,8,8,2,10.02,4260,34080,34016,3402.1,17783.3,17664.0,19114.7,21248.0,18812.1,22016.0,8.0,0
partial,8,32,8,8,8,4,10.02,4882,39050,311936,3899.1,15516.9,15530.7,16384.0,17493.3,16414.3,18005.3,63.9,0
copy-read,8,32,8,8,8,4,10.02,3794,30352,60614,3029.9,20103.0,20138.7,21077.3,22357.3,21123.5,23210.7,16.0,0
slm-copy-read,8,32,8,8,8,4,10.02,3814,30505,60928,3045.4,19999.8,20053.3,20992.0,22186.7,21016.1,22869.3,16.0,0
fused,8,32,8,8,8,4,10.02,4302,34415,68704,3435.2,17611.8,17578.7,18602.7,20053.3,18630.6,20736.0,16.0,0
vector,8,32,8,8,8,4,10.02,4396,35163,35104,3510.2,17236.2,17237.3,18176.0,20138.7,18232.9,20906.7,8.0,0
partial,8,32,8,8,8,8,10.02,4813,38497,307520,3843.6,15741.0,15616.0,16469.3,17834.7,16651.0,18261.3,63.9,0
copy-read,8,32,8,8,8,8,10.02,3560,28475,56856,2842.2,21484.1,21504.0,22528.0,23722.7,22520.6,24405.3,16.0,0
slm-copy-read,8,32,8,8,8,8,10.02,3535,28277,56456,2822.5,21632.5,21589.3,22869.3,24746.7,22677.5,25770.7,16.0,0
fused,8,32,8,8,8,8,10.02,4241,33927,67728,3386.3,17865.9,17920.0,18858.7,19882.7,18899.4,20394.7,16.0,0
vector,8,32,8,8,8,8,10.02,4348,34777,34720,3471.6,17428.1,17408.0,18346.7,19456.0,18436.5,20224.0,8.0,0
partial,8,32,8,8,8,16,10.02,4849,38790,309824,3872.9,15621.8,15616.0,16469.3,17834.7,16525.6,18432.0,63.9,0
copy-read,8,32,8,8,8,16,10.03,3555,28435,56784,2835.4,21447.4,21333.3,23040.0,25429.3,22562.6,26453.3,16.0,0
slm-copy-read,8,32,8,8,8,16,10.02,2904,23231,46360,2318.9,26216.5,21589.3,37034.7,71680.0,27604.8,74410.7,16.0,0
fused,8,32,8,8,8,16,10.02,4165,33316,66512,3325.5,18192.0,18176.0,19200.0,20224.0,19244.8,20821.3,16.0,0
vector,8,32,8,8,8,16,10.02,4248,33982,33920,3392.6,17832.8,17834.7,18944.0,20565.3,18864.8,21333.3,8.0,0
partial,8,32,8,8,8,32,10.02,4764,38111,304384,3805.0,15899.2,15786.7,16725.3,18176.0,16820.2,18773.3,63.9,0
copy-read,8,32,8,8,8,32,10.03,2933,23463,46824,2339.9,26021.0,23552.0,29013.3,84992.0,27346.9,91477.3,16.0,0
slm-copy-read,8,32,8,8,8,32,10.02,2978,23824,47544,2377.1,25622.9,23893.3,32597.3,44373.3,26925.7,46421.3,16.0,0
fused,8,32,8,8,8,32,10.03,3290,26316,52512,2624.5,23035.0,20138.7,31573.3,47786.7,24381.1,49834.7,16.0,0
vector,8,32,8,8,8,32,10.02,4252,34014,33952,3395.7,17817.8,17834.7,18858.7,20053.3,18848.6,20565.3,8.0,0
partial,8,32,8,8,8,64,10.02,4709,37666,300864,3760.9,16086.1,16128.0,17066.7,18261.3,17016.8,18773.3,63.9,0
copy-read,8,32,8,8,8,64,10.02,3133,25058,50040,2500.7,24448.8,23893.3,27477.3,35328.0,25594.9,36522.7,16.0,0
slm-copy-read,8,32,8,8,8,64,10.02,2823,22577,45088,2253.6,27354.7,23210.7,37205.3,69632.0,28659.8,74069.3,16.0,0
fused,8,32,8,8,8,64,10.04,3212,25691,51264,2559.8,23598.6,20992.0,30890.7,49834.7,24973.6,52224.0,16.0,0
vector,8,32,8,8,8,64,10.02,4048,32384,32320,3232.5,18725.4,18517.3,20138.7,28160.0,19806.8,29525.3,8.0,0
