mode,N,C_blocks,K,R,Q,qd,elapsed_s,requests,rounds,cmds,MBps,round_avg_us,round_p50_us,round_p90_us,round_p99_us,req_avg_us,req_p99_us,cmds_per_req,errors
partial,8,2,128,8,8,2,10.01,1880,239796,1917856,1497.8,2661.2,2496.0,2730.7,5930.7,42715.3,65194.7,1020.1,0
copy-read,8,2,128,8,8,2,10.00,3736,478208,956310,2987.3,1336.0,1301.3,1418.7,2026.7,21424.3,26453.3,256.0,0
slm-copy-read,8,2,128,8,8,2,10.01,3744,478784,957485,2990.4,1334.7,1306.7,1397.3,2016.0,21401.4,29184.0,255.7,0
fused,8,2,128,8,8,2,57.99,8,0,0,0.0,0.0,0.0,0.0,0.0,59992613.1,60118357.3,0.0,1088
vector,8,2,128,8,8,2,10.01,6984,893059,892995,5576.9,714.8,693.3,736.0,1162.7,11475.5,15872.0,127.9,0
partial,8,2,128,8,8,4,10.01,4160,532250,4257488,3324.6,1199.0,1189.3,1226.7,1397.3,19250.1,24405.3,1023.4,0
copy-read,8,2,128,8,8,4,10.00,5896,754253,1508429,4712.5,847.0,842.7,890.7,1093.3,13580.7,16640.0,255.8,0
slm-copy-read,8,2,128,8,8,4,10.01,5752,736064,1472031,4596.4,867.5,858.7,901.3,1226.7,13924.1,17408.0,255.9,0
fused,8,2,128,8,8,4,10.00,5408,691851,1383574,4322.5,922.2,912.0,954.7,1349.3,14806.1,18517.3,255.8,0
vector,8,2,128,8,8,4,10.00,11592,1482912,1482848,9265.0,430.2,418.7,445.3,725.3,6907.8,10794.7,127.9,0
partial,8,2,128,8,8,8,10.00,6336,810155,6480728,5061.1,787.6,778.7,810.7,912.0,12645.6,17578.7,1022.8,0
copy-read,8,2,128,8,8,8,10.00,7296,933874,1867658,5836.1,683.0,672.0,720.0,917.3,10966.1,13738.7,256.0,0
slm-copy-read,8,2,128,8,8,8,10.01,6920,885181,1770271,5526.9,721.3,714.7,752.0,965.3,11579.7,13909.3,255.8,0
fused,8,2,128,8,8,8,10.00,6832,873749,1747370,5459.3,730.2,720.0,757.3,1029.3,11723.0,14506.7,255.8,0
vector,8,2,128,8,8,8,10.01,12200,1561120,1561056,9751.3,408.8,402.7,437.3,626.7,6563.0,9856.0,128.0,0
partial,8,2,128,8,8,16,10.00,8408,1075678,8604912,6721.8,593.0,584.0,618.7,922.7,9521.5,12800.0,1023.4,0
copy-read,8,2,128,8,8,16,10.01,8144,1041737,2083370,6504.4,612.9,605.3,650.7,778.7,9839.8,12117.3,255.8,0
slm-copy-read,8,2,128,8,8,16,10.00,7704,986029,1971965,6159.7,647.2,640.0,680.0,826.7,10390.0,12970.7,256.0,0
fused,8,2,128,8,8,16,10.00,7832,1001582,2003036,6257.6,637.0,629.3,664.0,874.7,10227.5,12970.7,255.8,0
vector,8,2,128,8,8,16,10.00,12016,1537675,1537611,9608.5,414.8,408.0,437.3,594.7,6660.7,9173.3,128.0,0
partial,8,2,128,8,8,32,10.00,8056,1030696,8245056,6438.9,619.1,613.3,653.3,789.3,9939.6,12288.0,1023.5,0
copy-read,8,2,128,8,8,32,10.01,8085,1034099,2068107,6459.3,617.0,610.7,664.0,757.3,9906.7,11434.7,255.8,0
slm-copy-read,8,2,128,8,8,32,10.01,5144,657688,1315283,4106.1,971.3,680.0,997.3,3093.3,15580.0,88064.0,255.7,0
fused,8,2,128,8,8,32,10.00,7994,1023068,2046008,6392.5,623.5,594.7,730.7,960.0,10010.7,13482.7,255.9,0
vector,8,2,128,8,8,32,10.01,10808,1382841,1382777,8638.1,461.5,424.0,565.3,858.7,7408.7,11861.3,127.9,0
partial,8,2,128,8,8,64,10.01,7720,987317,7898024,6165.1,646.6,626.7,693.3,954.7,10380.6,13909.3,1023.1,0
copy-read,8,2,128,8,8,64,10.01,6885,880678,1761290,5500.6,725.0,704.0,794.7,1034.7,11635.2,13653.3,255.8,0
slm-copy-read,8,2,128,8,8,64,10.01,7080,905965,1811846,5656.6,704.9,688.0,789.3,1018.7,11314.1,14250.7,255.9,0
fused,8,2,128,8,8,64,10.00,8152,1043195,2086262,6519.6,611.4,594.7,669.3,880.0,9816.8,11861.3,255.9,0
vector,8,2,128,8,8,64,10.00,10400,1330854,1330790,8316.2,479.6,456.0,576.0,794.7,7695.7,11008.0,128.0,0
